Gene stable ID,Transcript stable ID,Transcript type
ENSG00000139220,ENST00000333447,protein_coding
ENSG00000076554,ENST00000379097,protein_coding
ENSG00000148123,ENST00000395056,protein_coding
ENSG00000204287,ENST00000395388,protein_coding
ENSG00000197971,ENST00000397875,protein_coding
ENSG00000067445,ENST00000420798,protein_coding
ENSG00000237765,ENST00000422728,protein_coding
ENSG00000122545,ENST00000432293,protein_coding
ENSG00000150275,ENST00000463095,processed_transcript
ENSG00000090054,ENST00000469778,processed_transcript
ENSG00000145832,ENST00000471980,processed_transcript
ENSG00000163191,ENST00000478109,processed_transcript
ENSG00000127022,ENST00000503303,processed_transcript
ENSG00000170091,ENST00000519717,protein_coding
ENSG00000166682,ENST00000538770,protein_coding
ENSG00000166111,ENST00000546618,protein_coding
ENSG00000257842,ENST00000552101,lncRNA
ENSG00000165795,ENST00000553563,protein_coding
ENSG00000103495,ENST00000563402,protein_coding
ENSG00000267952,ENST00000599312,protein_coding
ENSG00000276539,ENST00000614834,protein_coding
ENSG00000090054,ENST00000646481,nonsense_mediated_decay
