Exon region start (bp),Exon region end (bp),Genomic coding start,Genomic coding end,Exon stable ID
101324025,101325131,101324025,101324057,ENSE00001520437
32443185,32443466,32443185,32443466,ENSE00001660027
15686236,15690447,15686978,15688951,ENSE00001736652
92038248,92038458,,,ENSE00001909287
135883081,135883450,,,ENSE00001940031
76978852,76980471,76980427,76980471,ENSE00001940039
76978852,76980471,76980427,76980471,ENSE00001940039
179729360,179729649,,,ENSE00002064932
15681827,15681901,,,ENSE00002069002
174046659,174046884,174046756,174046884,ENSE00002120578
81257975,81259660,,,ENSE00002285402
81257975,81259660,,,ENSE00002285402
81257975,81259660,,,ENSE00002285402
113696836,113696971,,,ENSE00002321909
108960935,108961047,108960935,108961047,ENSE00002346678
26797491,26797568,,,ENSE00002425212
21023241,21023522,21023241,21023315,ENSE00002464773
29806978,29807066,29806978,29807066,ENSE00002582549
29806978,29807066,29806978,29807066,ENSE00002582549
7519205,7519526,7519205,7519288,ENSE00003015645
53821276,53823358,,,ENSE00003550236
152033648,152033800,,,ENSE00003596904
92034810,92034883,,,ENSE00003600120
92034810,92034883,,,ENSE00003600120
92034810,92034883,,,ENSE00003600120
92034810,92034883,,,ENSE00003600120
92034810,92034883,,,ENSE00003600120
92034810,92034883,,,ENSE00003600120
80036591,80038235,80038116,80038235,ENSE00003605598
35904254,35905305,35904254,35904293,ENSE00003613005
54928603,54931031,54928603,54931020,ENSE00003636549
54928603,54931031,54928603,54931020,ENSE00003636549
54928603,54931031,54928603,54931020,ENSE00003636549
101324025,101325131,101324025,101324057,ENSE00003781695
