Gene stable ID,Transcript stable ID,Transcript type
ENSG00000281915,ENST00000629697,lncRNA
ENSG00000281915,ENST00000625374,lncRNA
ENSG00000280993,ENST00000630867,lncRNA
ENSG00000280993,ENST00000625336,lncRNA
ENSG00000280993,ENST00000626575,lncRNA
ENSG00000280993,ENST00000625509,lncRNA
ENSG00000281603,ENST00000625966,lncRNA
ENSG00000229698,ENST00000549422,protein_coding
ENSG00000273722,ENST00000619510,nonsense_mediated_decay
ENSG00000273722,ENST00000621671,protein_coding
ENSG00000263014,ENST00000573121,protein_coding
ENSG00000263014,ENST00000575971,protein_coding
ENSG00000263014,ENST00000367381,protein_coding
ENSG00000276886,ENST00000300177,protein_coding
ENSG00000137332,ENST00000419285,protein_coding
ENSG00000228964,ENST00000491669,retained_intron
ENSG00000228964,ENST00000421349,protein_coding
ENSG00000231225,ENST00000546529,protein_coding
ENSG00000232126,ENST00000425798,protein_coding
ENSG00000280512,ENST00000629864,lncRNA
ENSG00000280512,ENST00000629970,lncRNA
ENSG00000233051,ENST00000547767,protein_coding
ENSG00000224398,ENST00000422567,protein_coding
ENSG00000232180,ENST00000450933,protein_coding
ENSG00000276914,ENST00000622266,protein_coding
ENSG00000229295,ENST00000447783,protein_coding
ENSG00000227993,ENST00000383127,protein_coding
ENSG00000206279,ENST00000471954,processed_transcript
ENSG00000279579,ENST00000624813,lncRNA
ENSG00000133110,ENST00000541179,protein_coding
ENSG00000183036,ENST00000328619,protein_coding
ENSG00000182240,ENST00000330333,protein_coding
ENSG00000177337,ENST00000576606,lncRNA
ENSG00000128731,ENST00000569335,retained_intron
ENSG00000137076,ENST00000495712,processed_transcript
ENSG00000120885,ENST00000520796,protein_coding
ENSG00000134138,ENST00000397624,protein_coding
ENSG00000135048,ENST00000537329,retained_intron
ENSG00000065057,ENST00000568513,nonsense_mediated_decay
ENSG00000095794,ENST00000463314,protein_coding
ENSG00000198515,ENST00000420489,protein_coding
ENSG00000204592,ENST00000376630,protein_coding
ENSG00000077009,ENST00000593949,protein_coding
ENSG00000263155,ENST00000380565,protein_coding
ENSG00000153446,ENST00000472572,protein_coding
ENSG00000125651,ENST00000598607,protein_coding
ENSG00000079332,ENST00000452767,protein_coding
ENSG00000165861,ENST00000318876,protein_coding
ENSG00000142449,ENST00000594331,retained_intron
ENSG00000090661,ENST00000600912,processed_transcript
ENSG00000138678,ENST00000611707,protein_coding
ENSG00000170345,ENST00000554212,protein_coding
ENSG00000204310,ENST00000395496,protein_coding
ENSG00000204310,ENST00000395499,protein_coding
ENSG00000204310,ENST00000395497,protein_coding
ENSG00000165685,ENST00000545924,processed_transcript
ENSG00000165685,ENST00000298530,protein_coding
ENSG00000165685,ENST00000543484,protein_coding
ENSG00000243716,ENST00000357370,protein_coding
ENSG00000231389,ENST00000453337,protein_coding
ENSG00000152942,ENST00000305138,protein_coding
ENSG00000236939,ENST00000436771,lncRNA
ENSG00000138621,ENST00000567336,protein_coding
ENSG00000183020,ENST00000448903,protein_coding
ENSG00000105612,ENST00000588777,retained_intron
ENSG00000127191,ENST00000474950,processed_transcript
ENSG00000127191,ENST00000482854,processed_transcript
ENSG00000127191,ENST00000469701,processed_transcript
ENSG00000127191,ENST00000466107,processed_transcript
ENSG00000197070,ENST00000468983,processed_transcript
ENSG00000140105,ENST00000554605,protein_coding
ENSG00000166444,ENST00000530922,processed_transcript
ENSG00000166444,ENST00000530338,nonsense_mediated_decay
ENSG00000166444,ENST00000531093,protein_coding
ENSG00000148926,ENST00000530439,protein_coding
ENSG00000148926,ENST00000524948,protein_coding
ENSG00000086159,ENST00000315520,protein_coding
ENSG00000087250,ENST00000561640,protein_coding
ENSG00000087250,ENST00000566576,processed_transcript
ENSG00000187486,ENST00000528731,protein_coding
ENSG00000123395,ENST00000552544,retained_intron
ENSG00000123395,ENST00000552947,retained_intron
ENSG00000213626,ENST00000406087,protein_coding
ENSG00000139631,ENST00000490923,retained_intron
ENSG00000204464,ENST00000625027,lncRNA
ENSG00000145416,ENST00000503008,protein_coding
ENSG00000145416,ENST00000515471,processed_transcript
ENSG00000110435,ENST00000526309,protein_coding
ENSG00000163832,ENST00000414236,protein_coding
ENSG00000110492,ENST00000490240,retained_intron
ENSG00000146955,ENST00000356407,protein_coding
ENSG00000197943,ENST00000570198,retained_intron
ENSG00000197943,ENST00000563834,processed_transcript
ENSG00000168237,ENST00000473032,protein_coding
ENSG00000141013,ENST00000568705,processed_transcript
ENSG00000141013,ENST00000561675,protein_coding
ENSG00000161010,ENST00000376931,protein_coding
ENSG00000161010,ENST00000292586,protein_coding
ENSG00000133321,ENST00000544107,processed_transcript
ENSG00000144746,ENST00000470936,retained_intron
ENSG00000168878,ENST00000393822,protein_coding
ENSG00000167749,ENST00000593885,nonsense_mediated_decay
ENSG00000167749,ENST00000596876,retained_intron
ENSG00000115561,ENST00000409810,processed_transcript
ENSG00000187147,ENST00000453863,protein_coding
ENSG00000116171,ENST00000407246,protein_coding
ENSG00000111325,ENST00000536615,processed_transcript
ENSG00000149357,ENST00000541403,retained_intron
ENSG00000110203,ENST00000545379,retained_intron
ENSG00000196549,ENST00000460393,protein_coding
ENSG00000196549,ENST00000360490,protein_coding
ENSG00000224189,ENST00000669485,lncRNA
ENSG00000224189,ENST00000547207,lncRNA
ENSG00000156976,ENST00000496382,retained_intron
ENSG00000242086,ENST00000595086,lncRNA
ENSG00000242086,ENST00000593988,lncRNA
ENSG00000132196,ENST00000470195,nonsense_mediated_decay
ENSG00000151418,ENST00000367382,protein_coding
ENSG00000151418,ENST00000489986,protein_coding
ENSG00000151418,ENST00000281087,protein_coding
ENSG00000091947,ENST00000585950,protein_coding
ENSG00000091947,ENST00000592127,protein_coding
ENSG00000091947,ENST00000586174,protein_coding
ENSG00000004939,ENST00000262418,protein_coding
ENSG00000004939,ENST00000399246,protein_coding
ENSG00000153822,ENST00000283936,protein_coding
ENSG00000153822,ENST00000392670,protein_coding
ENSG00000215644,ENST00000400723,protein_coding
