Gene stable ID,Transcript stable ID,Exon region start (bp),Exon region end (bp),Genomic coding start,Genomic coding end,Exon stable ID
ENSG00000165685,ENST00000381923,10186420,10186589,10186420,10186589,ENSE00001095458
ENSG00000165685,ENST00000298530,10186420,10186589,10186420,10186589,ENSE00001095458
ENSG00000165861,ENST00000318876,73026926,73027131,,,ENSE00001097336
ENSG00000276886,ENST00000300177,32810985,32814964,32810986,32811540,ENSE00001107803
ENSG00000146955,ENST00000356407,140407579,140407847,140407647,140407847,ENSE00001155572
ENSG00000152942,ENST00000361732,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000509734,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000354868,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000521422,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000354312,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000345306,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000305138,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000282891,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000380774,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000513214,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000358030,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000152942,ENST00000616683,69400049,69400169,69400049,69400169,ENSE00001326494
ENSG00000168878,ENST00000393822,85657318,85659682,,,ENSE00001378448
ENSG00000153822,ENST00000392670,70104854,70105075,,,ENSE00001512715
ENSG00000196549,ENST00000675418,155080319,155080466,,,ENSE00001513376
ENSG00000196549,ENST00000360490,155080319,155080466,,,ENSE00001513376
ENSG00000215644,ENST00000400723,81813474,81814008,81813474,81813689,ENSE00001544456
ENSG00000198515,ENST00000420489,47936014,47937829,47936421,47937829,ENSE00001551357
ENSG00000231389,ENST00000453337,33080680,33080767,,,ENSE00001596957
ENSG00000204592,ENST00000376630,30489726,30489995,30489726,30489995,ENSE00001602381
ENSG00000236939,ENST00000436771,103132963,103133369,,,ENSE00001612598
ENSG00000163832,ENST00000414236,47501716,47501851,47501716,47501851,ENSE00001626751
ENSG00000232180,ENST00000442152,31867408,31867533,31867408,31867533,ENSE00001643330
ENSG00000232180,ENST00000450933,31867408,31867533,31867408,31867533,ENSE00001643330
ENSG00000232180,ENST00000553147,31867408,31867533,31867408,31867533,ENSE00001643330
ENSG00000243716,ENST00000357370,22535940,22536432,22535940,22536385,ENSE00001654373
ENSG00000187147,ENST00000453863,44636030,44636152,44636030,44636152,ENSE00001682247
ENSG00000224189,ENST00000547207,176176476,176176692,,,ENSE00001702958
ENSG00000204592,ENST00000376630,30492749,30494194,,,ENSE00001706094
ENSG00000079332,ENST00000452767,70152150,70152592,70152476,70152592,ENSE00001719769
ENSG00000232126,ENST00000425798,31432558,31432794,31432558,31432794,ENSE00001736803
ENSG00000228964,ENST00000491669,31347575,31347999,,,ENSE00001749989
ENSG00000228964,ENST00000463600,31347575,31347999,,,ENSE00001749989
ENSG00000228964,ENST00000437265,31347575,31347999,,,ENSE00001749989
ENSG00000228964,ENST00000421349,31347575,31347999,,,ENSE00001749989
ENSG00000224189,ENST00000452365,176177711,176177856,,,ENSE00001783784
ENSG00000224189,ENST00000669485,176177711,176177856,,,ENSE00001783784
ENSG00000139631,ENST00000490923,53170423,53170712,,,ENSE00001810340
ENSG00000134138,ENST00000397624,36891021,36892459,,,ENSE00001810892
ENSG00000110492,ENST00000490240,46381061,46381183,,,ENSE00001813596
ENSG00000127191,ENST00000474950,136909920,136910096,,,ENSE00001814569
ENSG00000227993,ENST00000383127,32388087,32388277,32388196,32388277,ENSE00001818495
ENSG00000086159,ENST00000315520,49975465,49977139,49975465,49975671,ENSE00001821447
ENSG00000156976,ENST00000496382,186787776,186787882,,,ENSE00001836979
ENSG00000095794,ENST00000463314,35211656,35212160,35211656,35211803,ENSE00001841810
ENSG00000197070,ENST00000468983,137613281,137613510,,,ENSE00001847598
ENSG00000132196,ENST00000470195,162812298,162812526,,,ENSE00001851179
ENSG00000137076,ENST00000495712,35707356,35707488,,,ENSE00001851405
ENSG00000168237,ENST00000473032,52293307,52293469,,,ENSE00001855440
ENSG00000127191,ENST00000469701,136916541,136916677,,,ENSE00001858733
ENSG00000263155,ENST00000380565,57684402,57685360,57684402,57684498,ENSE00001864495
ENSG00000144746,ENST00000470936,69101839,69102230,,,ENSE00001866890
ENSG00000151418,ENST00000489986,198523341,198523564,198523391,198523564,ENSE00001868055
ENSG00000132196,ENST00000470195,162799832,162799937,162799832,162799937,ENSE00001879252
ENSG00000115561,ENST00000409810,86542788,86542847,,,ENSE00001880151
ENSG00000151418,ENST00000489986,198540569,198540674,198540569,198540650,ENSE00001886608
ENSG00000127191,ENST00000466107,136921125,136921215,,,ENSE00001910685
ENSG00000206279,ENST00000471954,33248370,33248691,,,ENSE00001951127
ENSG00000161010,ENST00000523084,179837276,179837885,179837391,179837885,ENSE00002037864
ENSG00000161010,ENST00000292586,179837276,179837885,179837391,179837885,ENSE00002037864
ENSG00000145416,ENST00000515471,164383187,164383566,,,ENSE00002064985
ENSG00000145416,ENST00000503008,163524718,163529046,163528748,163529046,ENSE00002069195
ENSG00000161010,ENST00000376931,179837266,179837885,179837391,179837885,ENSE00002123503
ENSG00000120885,ENST00000520796,27605141,27605335,27605141,27605335,ENSE00002124852
ENSG00000166444,ENST00000531093,8771674,8771919,,,ENSE00002140477
ENSG00000187486,ENST00000528731,17385859,17387846,17386919,17387830,ENSE00002147964
ENSG00000116171,ENST00000407246,53050609,53051260,53050609,53050704,ENSE00002150865
ENSG00000166444,ENST00000530922,8702570,8702720,,,ENSE00002161384
ENSG00000110435,ENST00000526309,34994914,34995177,34994914,34995172,ENSE00002172165
ENSG00000148926,ENST00000524948,10305949,10306260,10305949,10306102,ENSE00002173418
ENSG00000166444,ENST00000530338,8712551,8712720,8712551,8712720,ENSE00002173934
ENSG00000148926,ENST00000530439,10305680,10307362,10306288,10306641,ENSE00002180544
ENSG00000166444,ENST00000530338,8707103,8707225,,,ENSE00002196527
ENSG00000183020,ENST00000448903,1010548,1012240,1010548,1010625,ENSE00002198155
ENSG00000111325,ENST00000536615,122978753,122978988,,,ENSE00002205805
ENSG00000151418,ENST00000281087,198523224,198523564,198523391,198523564,ENSE00002214467
ENSG00000165685,ENST00000545924,10175282,10175522,,,ENSE00002224004
ENSG00000110203,ENST00000545379,72139250,72139482,,,ENSE00002239933
ENSG00000004939,ENST00000262418,44248390,44250538,44250458,44250538,ENSE00002258053
ENSG00000004939,ENST00000399246,44248390,44250538,44250458,44250538,ENSE00002258053
ENSG00000165685,ENST00000543484,10186420,10186552,10186420,10186552,ENSE00002264780
ENSG00000135048,ENST00000537329,71712083,71712443,,,ENSE00002275884
ENSG00000133110,ENST00000541179,37562583,37563370,37563333,37563370,ENSE00002289980
ENSG00000133321,ENST00000544107,63546149,63546325,,,ENSE00002319804
ENSG00000231225,ENST00000546529,31397308,31397443,31397374,31397443,ENSE00002337831
ENSG00000233051,ENST00000547767,31394056,31394191,31394122,31394191,ENSE00002343880
ENSG00000229698,ENST00000549422,29721064,29721251,29721188,29721251,ENSE00002379312
